epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.954,0.94079,1.37171,1.21922,0.94043,0.88078,0.88325,0.57678,1.16481,1.66989,1.51271,0.000653333,0.000653333,0.000653333
2,19.1857,0.8561,0.83351,1.14815,0.91212,0.83691,0.90141,0.66022,1.00828,1.25036,1.4091,0.00129386,0.00129386,0.00129386
3,27.1761,0.87178,0.72722,1.15286,0.91586,0.88763,0.92648,0.70157,0.93321,0.8007,1.35156,0.00190799,0.00190799,0.00190799
4,35.0803,0.87396,0.67359,1.13632,0.96932,0.85837,0.92581,0.72373,0.89096,0.81951,1.24776,0.0018812,0.0018812,0.0018812
5,43.0204,0.84942,0.60524,1.1317,0.88168,0.83152,0.92598,0.70576,0.94083,0.7915,1.3269,0.0018416,0.0018416,0.0018416
6,51.1444,0.83803,0.56269,1.12434,0.97552,0.85522,0.95708,0.73091,0.87757,0.62681,1.22918,0.001802,0.001802,0.001802
7,59.1968,0.81789,0.52817,1.11622,0.95677,0.85837,0.93046,0.70373,0.94321,0.68015,1.38158,0.0017624,0.0017624,0.0017624
8,67.2605,0.80931,0.51098,1.11997,0.96764,0.89845,0.95812,0.72414,0.88266,0.62544,1.21289,0.0017228,0.0017228,0.0017228
9,75.2821,0.80071,0.50554,1.1072,0.96525,0.90987,0.95852,0.72036,0.9333,0.60661,1.33031,0.0016832,0.0016832,0.0016832
10,83.5123,0.8029,0.48142,1.11246,0.9638,0.91414,0.96385,0.7533,0.84869,0.53716,1.24554,0.0016436,0.0016436,0.0016436
11,91.5139,0.7627,0.46573,1.09282,0.96533,0.90987,0.97968,0.70996,0.947,0.53445,1.30134,0.001604,0.001604,0.001604
12,99.5143,0.76954,0.45127,1.0937,0.95088,0.94421,0.96907,0.76214,0.78952,0.49219,1.18022,0.0015644,0.0015644,0.0015644
13,107.411,0.75212,0.44919,1.09445,0.96784,0.90422,0.95225,0.75292,0.82023,0.63346,1.21712,0.0015248,0.0015248,0.0015248
14,115.317,0.75365,0.43948,1.09176,0.97716,0.91824,0.96893,0.78376,0.76398,0.54636,1.17417,0.0014852,0.0014852,0.0014852
15,123.177,0.74921,0.43882,1.07752,0.97649,0.92704,0.97841,0.76644,0.81162,0.52522,1.24013,0.0014456,0.0014456,0.0014456
16,131.09,0.73629,0.42037,1.07837,0.96058,0.94135,0.98127,0.78923,0.78177,0.45383,1.17196,0.001406,0.001406,0.001406
17,138.914,0.73699,0.42438,1.0724,0.97007,0.93133,0.97812,0.76942,0.81878,0.53221,1.20981,0.0013664,0.0013664,0.0013664
18,146.747,0.7199,0.41186,1.06997,0.98632,0.92799,0.97867,0.78234,0.779,0.45742,1.13868,0.0013268,0.0013268,0.0013268
19,154.807,0.71427,0.40887,1.06584,0.95634,0.93133,0.97906,0.77821,0.79491,0.43837,1.14951,0.0012872,0.0012872,0.0012872
20,162.68,0.70647,0.39998,1.065,0.98504,0.90129,0.97324,0.78894,0.73936,0.48802,1.14174,0.0012476,0.0012476,0.0012476
21,170.466,0.71306,0.39595,1.06772,0.9568,0.95065,0.98405,0.80162,0.75341,0.42382,1.1475,0.001208,0.001208,0.001208
22,178.334,0.71992,0.39836,1.06457,0.93864,0.98485,0.99126,0.80595,0.70311,0.40685,1.10582,0.0011684,0.0011684,0.0011684
23,186.21,0.6788,0.38007,1.05443,0.94746,0.97854,0.99062,0.81156,0.72833,0.37158,1.11099,0.0011288,0.0011288,0.0011288
24,194.083,0.69677,0.3925,1.05653,0.93688,0.96137,0.98164,0.79911,0.7318,0.41462,1.14136,0.0010892,0.0010892,0.0010892
25,201.822,0.69537,0.38825,1.0626,0.93734,0.98712,0.99075,0.80713,0.72642,0.38722,1.11659,0.0010496,0.0010496,0.0010496
26,209.64,0.66479,0.3646,1.05572,0.96546,0.96996,0.99189,0.79691,0.7318,0.39091,1.15778,0.00101,0.00101,0.00101
27,217.425,0.65742,0.36682,1.04927,0.96118,0.95708,0.98724,0.80415,0.71479,0.40438,1.09586,0.0009704,0.0009704,0.0009704
28,225.371,0.70223,0.38562,1.05396,0.95326,0.96287,0.98947,0.80465,0.71577,0.41781,1.10262,0.0009308,0.0009308,0.0009308
29,233.291,0.68298,0.37204,1.05211,0.97784,0.96567,0.97967,0.79901,0.73513,0.37866,1.12897,0.0008912,0.0008912,0.0008912
30,241.223,0.66572,0.36469,1.05068,0.97777,0.96567,0.97681,0.79362,0.76051,0.39947,1.16736,0.0008516,0.0008516,0.0008516
31,249.504,0.65782,0.35247,1.03352,0.95377,0.96567,0.98295,0.79721,0.73664,0.38736,1.10924,0.000812,0.000812,0.000812
32,258.151,0.6489,0.35798,1.03699,0.99071,0.91568,0.97816,0.79417,0.7413,0.43597,1.11599,0.0007724,0.0007724,0.0007724
33,266.422,0.66391,0.35564,1.04385,0.97816,0.96089,0.98392,0.80762,0.69694,0.36706,1.11022,0.0007328,0.0007328,0.0007328
34,274.665,0.64631,0.35261,1.03562,0.96575,0.96996,0.9825,0.81073,0.71269,0.37278,1.10391,0.0006932,0.0006932,0.0006932
35,282.739,0.6403,0.34668,1.04085,0.95331,0.96387,0.98324,0.80753,0.69907,0.37373,1.09765,0.0006536,0.0006536,0.0006536
36,290.833,0.64689,0.34253,1.0356,0.97368,0.9528,0.9847,0.80729,0.70034,0.37834,1.09006,0.000614,0.000614,0.000614
37,299.261,0.63313,0.34405,1.02291,0.97114,0.97854,0.99107,0.8214,0.70504,0.33723,1.10404,0.0005744,0.0005744,0.0005744
38,307.47,0.62639,0.3384,1.02935,0.98242,0.95962,0.99011,0.81729,0.69728,0.34835,1.1105,0.0005348,0.0005348,0.0005348
