epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.268,0.89429,0.80437,1.18312,0.63798,0.80172,0.65772,0.33503,1.54114,2.23174,2.05819,0.000660714,0.000660714,0.000660714
2,494.883,0.93293,0.62776,1.18286,0.59319,0.72961,0.63978,0.36775,1.20036,2.29013,1.613,0.00131424,0.00131424,0.00131424
3,860.746,0.90848,0.57605,1.17237,0.89429,0.84979,0.89096,0.63666,1.04363,1.18021,1.43887,0.00195457,0.00195457,0.00195457
4,1126.81,0.86167,0.53357,1.14421,0.97328,0.88412,0.95187,0.72154,0.93288,0.53984,1.28229,0.0019406,0.0019406,0.0019406
5,1401.91,0.83649,0.51186,1.13244,0.98334,0.87124,0.95684,0.73887,0.86168,0.56332,1.21152,0.0019208,0.0019208,0.0019208
6,1711.08,0.82643,0.48755,1.12006,0.97254,0.91212,0.96558,0.72669,0.95684,0.53988,1.29474,0.001901,0.001901,0.001901
7,1950.49,0.80773,0.46873,1.11225,0.95115,0.92275,0.97536,0.7407,0.82073,0.50487,1.16993,0.0018812,0.0018812,0.0018812
8,2204.93,0.78664,0.45346,1.09896,0.92583,0.93991,0.96836,0.74462,0.85762,0.61676,1.23852,0.0018614,0.0018614,0.0018614
9,2978.71,0.77695,0.4458,1.1004,0.95875,0.89788,0.9708,0.76422,0.77267,0.47464,1.14057,0.0018416,0.0018416,0.0018416
10,3272.92,0.77344,0.42653,1.09053,0.95613,0.9355,0.98261,0.78664,0.73911,0.42984,1.13504,0.0018218,0.0018218,0.0018218
11,3509.79,0.76145,0.43194,1.09208,0.96826,0.90558,0.9749,0.78583,0.77701,0.47454,1.16061,0.001802,0.001802,0.001802
12,3803.03,0.7676,0.4199,1.09114,0.98371,0.90987,0.98291,0.79522,0.7403,0.38591,1.12297,0.0017822,0.0017822,0.0017822
13,4115.72,0.76283,0.4193,1.09262,0.97774,0.92275,0.98688,0.79721,0.73157,0.43912,1.12726,0.0017624,0.0017624,0.0017624
14,4397.82,0.74314,0.40275,1.07493,0.96147,0.9639,0.98754,0.79839,0.74475,0.44791,1.10422,0.0017426,0.0017426,0.0017426
15,4740.89,0.74446,0.40644,1.07937,0.95309,0.95913,0.98564,0.8091,0.72593,0.3784,1.11648,0.0017228,0.0017228,0.0017228
16,5003.42,0.73817,0.39254,1.07821,0.98676,0.95953,0.99198,0.7831,0.83427,0.41471,1.14433,0.001703,0.001703,0.001703
17,5279.22,0.72658,0.39206,1.06887,0.972,0.96996,0.99273,0.814,0.71356,0.37683,1.10598,0.0016832,0.0016832,0.0016832
18,5523.64,0.71322,0.38636,1.05957,0.94566,0.97096,0.98694,0.79942,0.71071,0.37778,1.08483,0.0016634,0.0016634,0.0016634
